OrderID,Date,CustomerName,Email,Product,Price,Country
RS-1724458801,2024-07-25,Adama Traoré,adama.traore@example.com,PACKRICSTREAMING,3900,Mali
RS-1724458802,2024-03-12,Fatou Diop,fatou.diop@example.com,PACKRICSTREAMING,3900,Sénégal
RS-1724458803,2024-01-18,Kwame N'krumah,kwame.nkrumah@example.com,PACKRICSTREAMING,3900,Côte d'Ivoire
RS-1724458804,2024-06-05,Amina Sow,amina.sow@example.com,PACKRICSTREAMING,3900,Guinée-Bissau
RS-1724458805,2023-11-22,Moussa Diallo,moussa.diallo@example.com,PACKRICSTREAMING,3900,Niger
RS-1724458806,2024-08-01,Mariam Cissé,mariam.cisse@example.com,PACKRICSTREAMING,3900,Burkina Faso
RS-1724458807,2024-04-19,Jean-Pierre Koffi,jp.koffi@example.com,PACKRICSTREAMING,3900,Togo
RS-1724458808,2024-02-08,Chidinma Adebayo,chidinma.adebayo@example.com,PACKRICSTREAMING,3900,Bénin
RS-1724458809,2023-10-15,Sekou Keita,sekou.keita@example.com,PACKRICSTREAMING,3900,Mali
RS-1724458810,2024-07-30,Awa Gueye,awa.gueye@example.com,PACKRICSTREAMING,3900,Sénégal
RS-1724458811,2024-05-11,Yao Kouassi,yao.kouassi@example.com,PACKRICSTREAMING,3900,Côte d'Ivoire
RS-1724458812,2024-01-02,Nia Gomes,nia.gomes@example.com,PACKRICSTREAMING,3900,Guinée-Bissau
RS-1724458813,2023-12-04,Ibrahim Hassan,ibrahim.hassan@example.com,PACKRICSTREAMING,3900,Niger
RS-1724458814,2024-08-14,Bintou Ouédraogo,bintou.ouedraogo@example.com,PACKRICSTREAMING,3900,Burkina Faso
RS-1724458815,2024-06-25,Ekoue Akakpo,ekoue.akakpo@example.com,PACKRICSTREAMING,3900,Togo
RS-1724458816,2024-03-29,Zola Adekunle,zola.adekunle@example.com,PACKRICSTREAMING,3900,Bénin
RS-1724458817,2023-11-01,Fanta Camara,fanta.camara@example.com,PACKRICSTREAMING,3900,Mali
RS-1724458818,2024-07-09,Ousmane N'diaye,ousmane.ndiaye@example.com,PACKRICSTREAMING,3900,Sénégal
RS-1724458819,2024-04-22,Gnon Kone,gnon.kone@example.com,PACKRICSTREAMING,3900,Côte d'Ivoire
RS-1724458820,2024-02-18,Amilcar Lopes,amilcar.lopes@example.com,PACKRICSTREAMING,3900,Guinée-Bissau
RS-1724458821,2023-09-21,Hamidou Issoufou,hamidou.issoufou@example.com,PACKRICSTREAMING,3900,Niger
RS-1724458822,2024-08-05,Rokia Sanogo,rokia.sanogo@example.com,PACKRICSTREAMING,3900,Burkina Faso
RS-1724458823,2024-05-15,Afiavi Mensah,afiavi.mensah@example.com,PACKRICSTREAMING,3900,Togo
RS-1724458824,2024-01-20,Obi Okoro,obi.okoro@example.com,PACKRICSTREAMING,3900,Bénin
RS-1724458825,2023-10-30,Djeneba Toure,djeneba.toure@example.com,PACKRICSTREAMING,3900,Mali
RS-1724458826,2024-07-21,Pape Sarr,pape.sarr@example.com,PACKRICSTREAMING,3900,Sénégal
RS-1724458827,2024-06-01,Aya Coulibaly,aya.coulibaly@example.com,PACKRICSTREAMING,3900,Côte d'Ivoire
RS-1724458828,2024-03-14,Rui Barbosa,rui.barbosa@example.com,PACKRICSTREAMING,3900,Guinée-Bissau
RS-1724458829,2023-12-19,Aisha Abdullahi,aisha.abdullahi@example.com,PACKRICSTREAMING,3900,Niger
RS-1724458830,2024-08-22,Alassane Zongo,alassane.zongo@example.com,PACKRICSTREAMING,3900,Burkina Faso
RS-1724458831,2024-04-10,Kossi Agbo,kossi.agbo@example.com,PACKRICSTREAMING,3900,Togo
RS-1724458832,2024-02-11,Funmilayo Ajayi,funmilayo.ajayi@example.com,PACKRICSTREAMING,3900,Bénin
RS-1724458833,2023-11-12,Salif Traoré,salif.traore@example.com,PACKRICSTREAMING,3900,Mali
RS-1724458834,2024-07-15,Ndèye Fall,ndeye.fall@example.com,PACKRICSTREAMING,3900,Sénégal
RS-1724458835,2024-05-25,Brou Yao,brou.yao@example.com,PACKRICSTREAMING,3900,Côte d'Ivoire
RS-1724458836,2024-01-28,Lina Pereira,lina.pereira@example.com,PACKRICSTREAMING,3900,Guinée-Bissau
RS-1724458837,2023-10-08,Mamadou Saidou,mamadou.saidou@example.com,PACKRICSTREAMING,3900,Niger
RS-1724458838,2024-08-08,Wendkouni Kaboré,wendkouni.kabore@example.com,PACKRICSTREAMING,3900,Burkina Faso
RS-1724458839,2024-06-18,Yawovi Amegan,yawovi.amegan@example.com,PACKRICSTREAMING,3900,Togo
RS-1724458840,2024-03-22,Tunde Bello,tunde.bello@example.com,PACKRICSTREAMING,3900,Bénin
RS-1724458841,2023-12-25,Oumou Sangaré,oumou.sangare@example.com,PACKRICSTREAMING,3900,Mali
RS-1724458842,2024-07-01,El Hadj Faye,el.hadj.faye@example.com,PACKRICSTREAMING,3900,Sénégal
